vehicle_id,engine_index,engine_descriptor,engine_cylinders,engine_displacement,turbocharger,fuel_type,fuel_type_1,alternative_fuel_technology,ghg_score,ghg_score_alt_fuel
6707,56031.0,BPE        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6700,56030.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6702,56031.0,BPE        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6704,56032.0,BPD        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6701,56030.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6705,56031.0,BPE        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6706,56032.0,BPD        (FFS),4.0,1.8,,Regular,Regular Gasoline,,-1.0,-1.0
6841,56040.0,(FFS),4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
6842,56041.0,"(FFS,TRBO)",4.0,2.2,True,Premium,Premium Gasoline,,-1.0,-1.0
6843,56040.0,(FFS),4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
6844,56041.0,"(FFS,TRBO)",4.0,2.2,True,Premium,Premium Gasoline,,-1.0,-1.0
7105,56082.0,(FFS) 2 barrel carb,4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
7108,56083.0,(FFS) fuel injection,4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
7110,56087.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7106,56082.0,(FFS),4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
7107,56082.0,(FFS) 2 barrel carb,4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
7109,56083.0,(FFS) fuel injection,4.0,2.2,,Regular,Regular Gasoline,,-1.0,-1.0
7111,56087.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7219,56087.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7220,56087.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7337,56086.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7339,56088.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7338,56086.0,(FFS),4.0,2.6,,Regular,Regular Gasoline,,-1.0,-1.0
7340,56088.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7418,56088.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
7419,56088.0,(FFS),6.0,3.0,,Regular,Regular Gasoline,,-1.0,-1.0
6423,56021.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6424,56020.0,(FFS),4.0,1.6,,Regular,Regular Gasoline,,-1.0,-1.0
6420,56010.0,(FFS),2.0,1.3,,Regular,Regular Gasoline,,-1.0,-1.0
6421,56010.0,(FFS),2.0,1.3,,Regular,Regular Gasoline,,-1.0,-1.0
6422,56015.0,"(FFS,TRBO)",2.0,1.3,True,Regular,Regular Gasoline,,-1.0,-1.0
6549,20020.0,(FFS),6.0,2.6,,Premium,Premium Gasoline,,-1.0,-1.0
6550,20020.0,(FFS),6.0,2.6,,Premium,Premium Gasoline,,-1.0,-1.0
6551,20033.0,(GUZZLER)  (FFS),6.0,3.0,,Premium,Premium Gasoline,,-1.0,-1.0
